ano,cbo2002,empregados,renda_sm
1986,422125,6581,20246.97
1986,422205,48491,150862.19
1986,422315,6,33.34
1986,423105,265634,903506.09
1986,424125,1075,6872.85
1986,510110,1522,5096.87
1986,510115,202,431.62
1986,510120,3,4.8
1986,510130,10,16.43
1986,510135,2305,8878.09
1986,510305,7345,20550.03
1986,510310,126536,336176.98
1986,511105,1756,18459.14
1986,511110,320,537.23
1986,511115,94,422.73
1986,511205,6772,19872.58
1986,511210,5773,17329.99
1986,511215,91794,185759.95
1986,511220,2580,8325.07
1986,511405,405,1131.01
1986,512105,1961,2458.15
1986,513105,89,161.59
1986,513110,175,616.94
1986,513115,728,2495.57
1986,513205,95968,187064.44
1986,513210,1248,1809.06
1986,513220,4336,7207.25
1986,513225,1463,7804.83
1986,513315,13839,22015.38
1986,513320,771,2951.66
1986,513325,186,560.3
1986,513405,39639,73820.01
1986,513410,751,1295.03
1986,513420,1857,4319
1986,513425,50634,83942.25
1986,513430,9168,14681.38
1986,513435,36375,61316.14
1986,514105,11378,22924.53
1986,514110,3091,7947.98
1986,514115,232,375.78
1986,514120,56107,94122.27
1986,514205,4433,9053.36
1986,514215,42650,73757.7
1986,514225,59,104.48
1986,514305,1118,1345.22
1986,514315,120,175.88
1986,514320,254501,380065.5
1986,514325,5320,22216.71
1986,515110,106945,230852.62
1986,515115,665,1608.13
1986,515120,27773,155260.86
1986,515205,928,2335.73
1986,515215,6517,16423.58
1986,516105,1486,2601.14
1986,516110,11157,16098.79
1986,516115,473,829.99
1986,516120,4382,5226.39
1986,516125,61,175.54
1986,516130,76,392.14
1986,516140,183,366.61
1986,516205,4094,7111.33
1986,516215,3,4.92
1986,516305,26829,42309.3
1986,516310,2421,3975.26
1986,516315,37,59.91
1986,516320,50,76.37
1986,516325,3390,6083.39
1986,516330,285,736.64
1986,516410,304,425.96
1986,516415,30608,68224.02
1986,516505,1076,2822.16
1986,516610,17,37.28
1986,516705,18,83.11
1986,517105,54,177.91
1986,517110,9505,31905.63
1986,517115,648,1790.55
1986,517205,6971,75365.55
1986,517210,6231,34984.74
1986,517220,218,946.92
1986,517305,1605,5830.81
1986,517315,1731,7881.98
1986,517320,723,1534.71
1986,517330,120558,383709.97
1986,517405,6347,12416.05
1986,517410,29173,66482.47
1986,517415,2349,4456.79
1986,517420,206278,549958.89
1986,519110,3650,8966.66
1986,519205,215372,669106.7
1986,519305,3239,7367.11
1986,519905,298,684.24
1986,519915,125,224.9
1986,519925,1747,4420.17
1986,519930,1264,2436.92
1986,519935,22521,44372.11
1986,519940,25,125.65
1986,519945,180,256.9
1986,520110,21268,194218.4
1986,521105,53797,211840.77
1986,521110,454457,1125945.48
1986,521115,26407,134844.43
1986,521120,11102,30812.77
1986,521130,8460,15130.64
1986,521135,44314,84518.51
1986,523105,8397,21842.48
1986,523115,688,1826.05
1986,524105,4450,15113.52
1986,524205,785,1147.58
1986,524210,2457,2725.92
1986,524305,10048,28702.58
1986,524310,31,98.7
1986,611005,228,368.99
1986,612005,1734,3535.11
1986,612120,37721,51291.27
1986,612215,3,5.12
1986,612305,183,345.86
1986,612310,3485,3515.66
1986,612405,70,172.92
1986,612505,14,34.94
1986,612620,625,1600.5
1986,613005,39,50.74
1986,613110,47,51.16
1986,613115,60,122.08
1986,613120,6383,10159.99
1986,613305,481,783.79
1986,620105,16344,46855.3
1986,620110,2362,11593.3
1986,620115,36134,81284.51
1986,621005,40606,74472.74
1986,622010,11225,27097.03
1986,622015,444,921.45
1986,622020,30621,54816.26
1986,622105,2784,5324.52
1986,622110,147399,220226.63
1986,622115,199,404.91
1986,622120,97,163.66
1986,622205,370,477.96
1986,622210,66,84.14
1986,622215,244,298.58
1986,622305,100,129.72
1986,622310,1004,1306.58
1986,622315,2199,4358.17
1986,622320,190,322.74
1986,622425,2676,6548.4
1986,622505,33980,78283.54
1986,622515,129,203.31
1986,622605,1721,2614.83
1986,622610,5793,8124.11
1986,622615,717,933.8
1986,622620,9540,15255.38
1986,622625,40,72.42
1986,622705,4,4.75
1986,622715,736,1375.89
1986,622720,684,893.37
1986,622725,1056,1721.95
1986,622730,518,747.88
1986,622805,19,34.35
1986,622810,429,553.76
1986,623005,39,85.35
1986,623010,228,677.98
1986,623015,1291,2178.42
1986,623020,1560,3165.64
1986,623105,29,39.44
1986,623110,4610,7536.38
1986,623115,8641,13798.61
1986,623125,350,653.1
1986,623205,30,58.75
1986,623210,1105,1689.88
1986,623215,1379,2642.4
1986,623305,14693,24695.02
1986,623315,274,571.59
1986,623320,178,295.84
1986,623325,9,36.31
1986,623410,331,640.64
1986,623420,536,1223.75
1986,630110,1243,5374.61
1986,631010,56,68.16
1986,631020,2331,4287.14
1986,631105,94,205.9
1986,631205,3092,4874.72
1986,631320,4,6.47
1986,631325,115,330.24
1986,631410,55,141.74
1986,632015,828,1592.24
1986,632105,15097,23989.98
1986,632110,106,296.97
1986,632115,219,507.17
1986,632120,5471,12746.71
1986,632125,12646,20730.5
1986,632205,1351,2245.26
1986,632210,5,9.8
1986,632215,1497,2160.51
1986,632310,7,40.04
1986,632325,39,43.5
1986,632340,2,3.65
1986,632355,1374,4394.4
1986,632365,13,20.18
1986,632410,5,22.66
1986,632505,400,685.82
1986,632515,14,41.36
1986,632520,11,14.73
1986,632605,6870,19020.67
1986,641005,464,1276.96
1986,641010,2238,5373.84
1986,641015,21597,56708.54
1986,642015,4813,11215.34
1986,710105,13258,28348.86
1986,710110,1167,1578.15
1986,710120,3634,38829.89
1986,710205,103238,408961.87
1986,710210,2043,12220.81
1986,710215,29550,94604.3
1986,710220,12,67.58
1986,710225,20,133.71
1986,711105,16428,45926.73
1986,711110,1278,3172.68
1986,711115,9835,32443.32
1986,711120,779,2895.45
1986,711125,92,273.21
1986,711130,14508,35438.73
1986,711215,814,2229.93
1986,711220,671,3339.7
1986,711225,2307,7886.01
1986,711230,7,26.93
1986,711240,24,41.74
1986,711315,2625,27773.7
1986,711320,4009,13818.16
1986,711325,1774,14268.4
1986,711330,651,6790.21
1986,711405,262,519.48
1986,711410,1059,502.74
1986,712105,262,829.32
1986,712110,101,310.9
1986,712115,10,25.28
1986,712120,863,2636.22
1986,712130,36,69.73
1986,712135,721,1643.04
1986,712205,1606,3003.52
1986,712210,9,17.98
1986,712215,12,16.28
1986,712220,1751,3330.75
1986,712225,161,357.88
1986,712230,72,187.23
1986,715105,1108,3223.06
1986,715110,1590,4363.71
1986,715115,6095,20428.1
1986,715120,1700,5224.8
1986,715125,232,899.99
1986,715130,5424,20422.02
1986,715135,9666,34501.55
1986,715140,15753,51998.37
