ano,cbo2002,empregados
2012,122710,367
2013,122710,368
2014,122710,382
2015,122710,396
2016,122710,345
2003,122715,24
2004,122715,8
2005,122715,11
2006,122715,14
2007,122715,20
2008,122715,22
2009,122715,23
2010,122715,20
2011,122715,27
2012,122715,24
2013,122715,24
2014,122715,32
2015,122715,32
2016,122715,19
2003,122720,32
2004,122720,47
2005,122720,36
2006,122720,39
2007,122720,35
2008,122720,38
2009,122720,37
2010,122720,35
2011,122720,30
2012,122720,44
2013,122720,52
2014,122720,55
2015,122720,57
2016,122720,47
2003,122725,15
2004,122725,22
2005,122725,20
2006,122725,26
2007,122725,28
2008,122725,47
2009,122725,59
2010,122725,72
2011,122725,96
2012,122725,118
2013,122725,137
2014,122725,195
2015,122725,257
2016,122725,280
2003,122730,27
2004,122730,73
2005,122730,77
2006,122730,45
2007,122730,37
2008,122730,42
2009,122730,30
2010,122730,41
2011,122730,40
2012,122730,54
2013,122730,43
2014,122730,55
2015,122730,52
2016,122730,44
2003,122735,12
2004,122735,10
2005,122735,17
2006,122735,21
2007,122735,22
2008,122735,23
2009,122735,51
2010,122735,48
2011,122735,31
2012,122735,33
2013,122735,42
2014,122735,35
2015,122735,34
2016,122735,31
2003,122740,3
2004,122740,29
2005,122740,27
2006,122740,20
2007,122740,30
2008,122740,29
2009,122740,170
2010,122740,204
2011,122740,279
2012,122740,350
2013,122740,279
2014,122740,191
2015,122740,157
2016,122740,128
2003,122745,35
2004,122745,35
2005,122745,33
2006,122745,28
2007,122745,43
2008,122745,50
2009,122745,58
2010,122745,75
2011,122745,59
2012,122745,91
2013,122745,83
2014,122745,79
2015,122745,83
2016,122745,56
2003,122750,21
2004,122750,25
2005,122750,15
2006,122750,19
2007,122750,25
2008,122750,25
2009,122750,25
2010,122750,30
2011,122750,39
2012,122750,47
2013,122750,57
2014,122750,35
2015,122750,40
2016,122750,32
2003,122755,11
2004,122755,17
2005,122755,13
2006,122755,24
2007,122755,31
2008,122755,32
2009,122755,80
2010,122755,91
2011,122755,101
2012,122755,114
2013,122755,123
2014,122755,135
2015,122755,141
2016,122755,136
1986,123105,1201
1987,123105,1283
1988,123105,1368
1989,123105,1426
1990,123105,1450
1991,123105,1470
1992,123105,1604
1993,123105,1908
1994,123105,1873
1995,123105,1867
1996,123105,1715
1997,123105,1816
1998,123105,1646
1999,123105,1758
2000,123105,1837
2001,123105,1862
2002,123105,1860
2003,123105,21954
2004,123105,20021
2005,123105,25267
2006,123105,26733
2007,123105,29165
2008,123105,29572
2009,123105,41102
2010,123105,38127
2011,123105,41426
2012,123105,38855
2013,123105,49267
2014,123105,48134
2015,123105,48806
2016,123105,39735
1986,123110,130
1987,123110,131
1988,123110,142
1989,123110,145
1990,123110,135
1991,123110,136
1992,123110,139
1993,123110,134
1994,123110,129
1995,123110,131
1996,123110,124
1997,123110,176
1998,123110,185
1999,123110,195
2000,123110,147
2001,123110,156
2002,123110,158
2003,123110,5715
2004,123110,5618
2005,123110,6573
2006,123110,6680
2007,123110,7537
2008,123110,7301
2009,123110,8756
2010,123110,9303
2011,123110,10208
2012,123110,9929
2013,123110,11101
2014,123110,11043
2015,123110,11217
2016,123110,9060
1986,123115,51
1987,123115,47
1988,123115,53
1989,123115,43
1990,123115,43
1991,123115,41
1992,123115,39
1993,123115,39
1994,123115,40
1995,123115,43
1996,123115,39
1997,123115,46
1998,123115,50
1999,123115,45
2000,123115,47
2001,123115,49
2002,123115,50
2003,123115,3167
2004,123115,3140
2005,123115,3449
2006,123115,3648
2007,123115,3672
2008,123115,3884
2009,123115,4438
2010,123115,4719
2011,123115,5320
2012,123115,5560
2013,123115,6349
2014,123115,6831
2015,123115,6981
2016,123115,6871
2003,123205,1174
2004,123205,1153
2005,123205,1344
2006,123205,1464
2007,123205,1552
2008,123205,1456
2009,123205,1867
2010,123205,1778
2011,123205,2144
2012,123205,2077
2013,123205,2366
2014,123205,2470
2015,123205,2544
2016,123205,2168
2003,123210,185
2004,123210,196
2005,123210,278
2006,123210,278
2007,123210,290
2008,123210,278
2009,123210,284
2010,123210,322
2011,123210,365
2012,123210,317
2013,123210,427
2014,123210,431
2015,123210,444
2016,123210,296
1986,123305,193
1987,123305,183
1988,123305,199
1989,123305,194
1990,123305,214
1991,123305,203
1992,123305,188
1993,123305,176
1994,123305,184
1995,123305,177
1996,123305,169
1997,123305,167
1998,123305,179
1999,123305,169
2000,123305,224
2001,123305,211
2002,123305,214
2003,123305,4762
2004,123305,4950
2005,123305,5239
2006,123305,5845
2007,123305,6118
2008,123305,6666
2009,123305,6885
2010,123305,7549
2011,123305,8464
2012,123305,9129
2013,123305,10006
2014,123305,10423
2015,123305,10199
2016,123305,9961
2003,123310,738
2004,123310,812
2005,123310,911
2006,123310,973
2007,123310,1062
2008,123310,1232
2009,123310,1298
2010,123310,1505
2011,123310,1795
2012,123310,1773
2013,123310,2185
2014,123310,2185
2015,123310,2188
2016,123310,2096
2003,123405,389
2004,123405,392
2005,123405,424
2006,123405,495
2007,123405,624
2008,123405,675
2009,123405,710
2010,123405,836
2011,123405,883
2012,123405,986
2013,123405,1183
2014,123405,1220
2015,123405,1318
2016,123405,1185
2003,123410,166
2004,123410,151
2005,123410,345
2006,123410,318
2007,123410,347
2008,123410,245
2009,123410,389
2010,123410,625
2011,123410,814
2012,123410,317
2013,123410,745
2014,123410,720
2015,123410,717
2016,123410,261
2003,123605,883
2004,123605,922
2005,123605,1301
2006,123605,1371
2007,123605,1497
2008,123605,1525
2009,123605,1952
2010,123605,2173
2011,123605,2506
2012,123605,2531
2013,123605,2745
2014,123605,2826
2015,123605,2814
2016,123605,2678
2003,123705,484
2004,123705,532
2005,123705,576
2006,123705,712
2007,123705,795
2008,123705,836
2009,123705,877
2010,123705,1040
2011,123705,1136
2012,123705,1176
2013,123705,1308
2014,123705,1392
2015,123705,1380
2016,123705,1329
2003,123805,1328
2004,123805,1070
2005,123805,1060
2006,123805,1095
2007,123805,1220
2008,123805,1218
2009,123805,1445
2010,123805,1539
2011,123805,1753
2012,123805,1713
2013,123805,1781
2014,123805,1813
2015,123805,1838
2016,123805,1719
1986,131105,265
1987,131105,252
1988,131105,254
1989,131105,301
1990,131105,324
1991,131105,347
1992,131105,351
1993,131105,530
1994,131105,485
1995,131105,663
1996,131105,687
1997,131105,716
1998,131105,619
1999,131105,678
2000,131105,722
2001,131105,1024
2002,131105,754
2003,131105,1513
2004,131105,1235
2005,131105,1520
2006,131105,1385
2007,131105,1494
2008,131105,1517
2009,131105,1606
2010,131105,1773
2011,131105,1789
2012,131105,1532
2013,131105,1958
2014,131105,2123
2015,131105,2136
2016,131105,1648
2003,131110,1327
2004,131110,1133
2005,131110,1395
2006,131110,1419
2007,131110,1484
2008,131110,1253
2009,131110,1801
2010,131110,1880
2011,131110,1994
2012,131110,1573
2013,131110,2221
2014,131110,2251
