"CBO2002";"code";"job_zone"
"716525";"13-1074.00";"2"
"716530";"19-2012.00";"2"
"716535";"";"2"
"716610";"19-1032.00";"2"
"716615";"";"2"
"720210";"49-9061.00";"2"
"722105";"";"2"
"722110";"15-1131.00";"2"
"722115";"19-1032.00";"2"
"722205";"31-9091.00";"2"
"722210";"";"2"
"722215";"51-5112.00";"2"
"722220";"47-5042.00";"2"
"722225";"51-6031.00";"2"
"722230";"53-7031.00";"2"
"722235";"53-2022.00";"2"
"722305";"";"2"
"722310";"15-2021.00";"2"
"722315";"51-7031.00";"2"
"722320";"15-2021.00";"2"
"722325";"45-2091.00";"2"
"722330";"51-6031.00";"2"
"722410";"47-2211.00";"2"
"722415";"51-6031.00";"2"
"723105";"29-2021.00";"2"
"723110";"29-1062.00";"2"
"723115";"45-4022.00";"2"
"723120";"53-7041.00";"2"
"723125";"19-2099.01";"2"
"723205";"";"2"
"723210";"";"2"
"723215";"47-2121.00";"2"
"723220";"";"2"
"723225";"";"2"
"723230";"51-6031.00";"2"
"723235";"";"2"
"723240";"27-3041.00";"2"
"723305";"45-4022.00";"2"
"723310";"";"2"
"723315";"13-2021.02";"2"
"723320";"51-9195.05";"2"
"723325";"51-9031.00";"2"
"723330";"";"2"
"724505";"51-6031.00";"2"
"724510";"51-6031.00";"2"
"724515";"51-5112.00";"2"
"724605";"53-7021.00";"2"
"724610";"43-3021.01";"2"
"725105";"";"2"
"725205";"51-9197.00";"2"
"725210";"27-1024.00";"2"
"725215";"";"2"
"725220";"51-2031.00";"2"
"725225";"";"2"
"725305";"51-2023.00";"2"
"725310";"19-4011.01";"2"
"725315";"53-7061.00";"2"
"725320";"";"2"
"725405";"17-2141.00";"2"
"725410";"17-2141.00";"2"
"725415";"17-3029.07";"2"
"725420";"49-9011.00";"2"
"725605";"";"2"
"725610";"";"2"
"725705";"49-9021.02";"2"
"731105";"51-2022.00";"2"
"731110";"";"2"
"731115";"";"2"
"731120";"";"2"
"731125";"45-2091.00";"2"
"731130";"51-9011.00";"2"
"731135";"51-2023.00";"2"
"731140";"51-2022.00";"2"
"731145";"51-2022.00";"2"
"731150";"53-7061.00";"2"
"731155";"51-9011.00";"2"
"731160";"31-9093.00";"2"
"731165";"17-3029.02";"2"
"731170";"17-3023.03";"2"
"731175";"";"2"
"731180";"29-2012.00";"2"
"731205";"";"2"
"740110";"";"3"
"742105";"49-9063.00";"3"
"742110";"39-9032.00";"3"
"742115";"49-9095.00";"3"
"742120";"";"3"
"742125";"27-2042.02";"3"
"742130";"";"3"
"742135";"17-3031.02";"3"
"742140";"51-7032.00";"3"
"750105";"39-1012.00";"3"
"751005";"";"3"
"751010";"51-9071.01";"3"
"751015";"51-9071.01";"3"
"751020";"";"3"
"751105";"51-4041.00";"3"
"751110";"";"3"
"751115";"";"3"
"751120";"51-9071.07";"3"
"751125";"";"3"
"752215";"43-3041.00";"2"
"752220";"";"2"
"752225";"51-9195.07";"2"
"752405";"27-2012.03";"2"
"752410";"51-8092.00";"2"
"752415";"";"2"
"752420";"27-4013.00";"2"
"752425";"27-4013.00";"2"
"752430";"";"2"
"760105";"";"2"
"760110";"";"2"
"760115";"";"2"
"760120";"";"2"
"760125";"47-4011.00";"2"
"760405";"51-1011.00";"2"
"761005";"";"2"
"761105";"";"2"
"761110";"";"2"
"761205";"43-2011.00";"2"
"761220";"27-4013.00";"2"
"761225";"";"2"
"761230";"27-4013.00";"2"
"761235";"51-2091.00";"2"
"761240";"45-4022.00";"2"
"761250";"43-9011.00";"2"
"761255";"53-7031.00";"2"
"761260";"43-9011.00";"2"
"761303";"47-2072.00";"2"
"761306";"";"2"
"761309";"";"2"
"761312";"";"2"
"761315";"17-3027.00";"2"
"761318";"";"2"
"761321";"";"2"
"761324";"";"2"
"761327";"";"2"
"761330";"";"2"
"761333";"";"2"
"761336";"";"2"
"761339";"";"2"
"761342";"";"2"
"761345";"";"2"
"761348";"43-9011.00";"2"
"761351";"53-7031.00";"2"
"761354";"51-6031.00";"2"
"761357";"53-7011.00";"2"
"761360";"";"2"
"761363";"51-9197.00";"2"
"761366";"";"2"
"762005";"51-9195.07";"1"
"762105";"27-2042.01";"1"
"762110";"";"1"
"762115";"";"1"
"762125";"";"1"
"762205";"39-7011.00";"1"
"762210";"";"1"
"762305";"";"1"
"762310";"";"1"
"762315";"53-7061.00";"1"
"762325";"51-3093.00";"2"
"762330";"51-9031.00";"1"
"762335";"35-3031.00";"1"
"762340";"49-3093.00";"1"
"763005";"";"3"
"763020";"35-3031.00";"3"
"764105";"51-6042.00";"2"
"764110";"51-9195.03";"2"
"764115";"53-5031.00";"2"
"764120";"35-2021.00";"2"
"764205";"51-6031.00";"2"
"764210";"47-2011.00";"2"
"764305";"51-7021.00";"2"
"765005";"";"2"
"765010";"";"3"
"765015";"";"3"
"765105";"";"2"
"765110";"";"2"
"765205";"35-3031.00";"2"
"765230";"51-6093.00";"2"
"765235";"51-6093.00";"2"
"765310";"";"2"
"765315";"";"2"
"766105";"47-2211.00";"3"
"766115";"";"3"
"766120";"27-4032.00";"3"
"766125";"";"3"
"766145";"";"3"
"766150";"51-5112.00";"3"
"766305";"";"2"
"766310";"51-9195.07";"2"
"766315";"";"2"
"766320";"53-7011.00";"2"
"766325";"47-2141.00";"2"
"766405";"27-4021.00";"2"
"766410";"49-9061.00";"2"
"766415";"49-9061.00";"2"
"766420";"";"2"
"768105";"";"2"
"768110";"53-7064.00";"2"
"768115";"";"2"
"768120";"";"2"
"768125";"";"2"
"768130";"27-2022.00";"2"
"768310";"41-2021.00";"2"
"768315";"";"2"
"768320";"";"2"
"768325";"43-3071.00";"2"
"768605";"19-3092.00";"3"
"768610";"";"3"
"768615";"";"3"
"768620";"47-2142.00";"3"
"768625";"47-4091.00";"3"
"768630";"17-2199.04";"3"
"768705";"27-3022.00";"2"
"772105";"35-2015.00";"2"
"772110";"43-9011.00";"2"
"772115";"";"2"
"773105";"35-2021.00";"2"
"773110";"";"2"
"773115";"";"2"
"773120";"";"2"
"773125";"";"2"
"773130";"";"2"
"773205";"51-6042.00";"2"
"773210";"39-9011.00";"2"
"773215";"51-5111.00";"2"
"773220";"49-3091.00";"2"
"773305";"";"2"
"773310";"";"2"
"773315";"51-6031.00";"2"
"773320";"27-4013.00";"2"
"773325";"51-3093.00";"2"
"773330";"53-7033.00";"2"
"773335";"51-8013.00";"2"
"773340";"";"2"
"773345";"53-7033.00";"2"
"773350";"";"2"
"773355";"";"2"
"773415";"53-7033.00";"2"
"776405";"19-1032.00";"3"
"776410";"";"3"
"776415";"13-1031.02";"3"
"776420";"43-5031.00";"3"
"776425";"51-6051.00";"3"
"776430";"";"3"
"777105";"47-2141.00";"2"
"777110";"47-2031.02";"2"
"777115";"";"2"
"777205";"47-2031.02";"2"
"777210";"47-2031.02";"2"
"781705";"33-3012.00";"3"
"782220";"51-8013.00";"2"
"782410";"";"2"
"782415";"";"2"
"782505";"11-1021.00";"2"
"782510";"";"2"
"782605";"53-4041.00";"2"
"782610";"39-9032.00";"2"
"782615";"51-9195.07";"2"
"782620";"13-1041.06";"2"
"782625";"25-9041.00";"2"
"782630";"53-7011.00";"2"
"782705";"53-5011.00";"2"
"782710";"53-5011.00";"2"
"782715";"51-4121.07";"2"
"783105";"41-3041.00";"2"
"783110";"";"2"
"783205";"";"2"
"783210";"";"2"
"783215";"11-3031.01";"2"
"783220";"17-1022.00";"2"
"783225";"53-3031.00";"2"
"784205";"43-5061.00";"2"
"810205";"51-4061.00";"2"
"811745";"";"2"
"811760";"";"2"
"811770";"11-2031.00";"2"
"820110";"17-2131.00";"2"
"820115";"43-9041.01";"2"
"820120";"17-3012.01";"2"
"820125";"29-1124.00";"2"
"821110";"51-6031.00";"2"
"821205";"19-4093.00";"2"
"821210";"11-1021.00";"2"
"821215";"19-4093.00";"2"
"821220";"";"2"
"821225";"51-8021.00";"2"
"821230";"";"2"
"821235";"";"2"
"821240";"";"2"
"821245";"51-5112.00";"2"
"821250";"53-7031.00";"2"
"821255";"";"2"
"821305";"27-4013.00";"2"
"821310";"";"2"
"821315";"";"2"
"821320";"47-5041.00";"2"
"821325";"51-6031.00";"2"
"821330";"53-7021.00";"2"
"821335";"39-7011.00";"2"
"821405";"";"2"
"821410";"15-2011.00";"2"
"821415";"";"2"
"821420";"";"2"
"821425";"";"2"
"821430";"53-4041.00";"2"
"821435";"27-4013.00";"2"
"821440";"";"2"
"821445";"49-9097.00";"2"
"821450";"";"2"
"822105";"35-3011.00";"2"
"822110";"47-4031.00";"2"
"822115";"";"2"
"822120";"";"2"
"822125";"";"2"
"830105";"";"2"
"833105";"15-2021.00";"2"
"833110";"";"2"
"833115";"";"2"
"833120";"47-5042.00";"2"
"833125";"51-5112.00";"2"
"833205";"33-3052.00";"2"
"840120";"";"2"
"841105";"43-6012.00";"2"
"841110";"51-9197.00";"2"
"841115";"51-5112.00";"2"
"841205";"41-9031.00";"2"
"841210";"39-2011.00";"2"
"841305";"";"2"
"841310";"51-9193.00";"2"
"841315";"51-9111.00";"2"
"841320";"47-5013.00";"2"
"841408";"";"2"
"841416";"47-2041.00";"2"
"841420";"47-2221.00";"2"
"841428";"";"2"
"841432";"35-2021.00";"2"
"841440";"11-9051.00";"2"
"841444";"47-5011.00";"2"
"841448";"";"2"
"841456";"";"2"
"841460";"";"2"
"841464";"";"2"
"841468";"13-2082.00";"2"
"841472";"53-5011.00";"2"
"841476";"17-2199.04";"2"
"841484";"35-2021.00";"2"
"841505";"";"2"
"841605";"13-1041.06";"2"
"841610";"13-1041.06";"2"
"841615";"13-1041.06";"2"
"841620";"51-8011.00";"2"
"841625";"13-1041.06";"2"
"841630";"";"2"
"841705";"";"2"
"841710";"29-9091.00";"2"
"841715";"35-3011.00";"2"
"841720";"43-3041.00";"2"
"841725";"29-1131.00";"2"
"841730";"";"2"
"841735";"39-2011.00";"2"
"841740";"27-2042.01";"2"
"841745";"";"2"
"841805";"";"2"
"841810";"53-7021.00";"2"
"841815";"";"2"
"842125";"53-7063.00";"2"
"842210";"51-6042.00";"2"
"842215";"39-9011.00";"2"
"842220";"";"2"
"842230";"";"2"
"848205";"";"2"
"848210";"";"2"
"848215";"";"2"
"848305";"51-3011.00";"2"
"848310";"39-6012.00";"2"
"848315";"";"2"
"848325";"51-9195.05";"2"
"862105";"33-3021.01";"3"
"862110";"35-3022.01";"3"
"862115";"51-8092.00";"3"
"862120";"43-9011.00";"3"
"862130";"43-9011.00";"3"
"862155";"";"3"
"910910";"49-9071.00";"2"
"914105";"49-9071.00";"3"
"915210";"49-9063.00";"3"
"954305";"49-9062.00";"3"
"991105";"";"2"
"131115";"11-9061.00";"3"
"142315";"11-2021.00";"4"
"211115";"15-2021.00";"5"
"211205";"15-2041.00";"5"
"214120";"17-1012.00";"4"
"214305";"17-2071.00";"4"
"214310";"17-2071.00";"4"
"214320";"17-2071.00";"4"
"214405";"17-2141.00";"4"
"214420";"17-2141.00";"4"
"214605";"17-2131.00";"4"
"221105";"19-1020.01";"5"
"222105";"17-2021.00";"4"
"223905";"29-1122.00";"5"
"223910";"29-1199.05";"5"
"224115";"29-9091.00";"5"
"252105";"15-1199.03";"3"
"261205";"25-4021.00";"5"
"262120";"27-2012.01";"4"
"262505";"27-2011.00";"2"
"262815";"27-2032.00";"4"
"301105";"51-9081.00";"2"
"301115";"19-4031.00";"3"
"311105";"19-4031.00";"3"
"311115";"17-3031.02";"3"
"311205";"19-4031.00";"3"
"316105";"19-4041.01";"4"
"316305";"17-3031.02";"3"
"318010";"27-3043.04";"4"
"318205";"17-2141.00";"4"
"318610";"17-2141.00";"4"
"322110";"29-1081.00";"5"
"322120";"31-9011.00";"3"
"325115";"29-2052.00";"3"
"328105";"39-4011.00";"3"
"342505";"53-2021.00";"3"
"342530";"53-6051.01";"3"
"354815";"41-3041.00";"3"
"375105";"27-1025.00";"4"
"411035";"43-9111.00";"4"
"511105";"53-2031.00";"3"
"516105";"39-5011.00";"3"
"521110";"41-2031.00";"2"
"623005";"39-2011.00";"2"
"711230";"51-6031.00";"1"
"720110";"47-2011.00";"3"
"724110";"47-2152.02";"3"
"782105";"53-7031.00";"2"
"861120";"51-8011.00";"3"
