Nome,Bolsista,Doutorado,Professor
Manoel Mendonça de Castro Neto ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Civil Engineering pela University of Tennessee System, Estados Unidos(2009)","Professor Adjunto I da Universidade Federal do Ceará , Brasil"
Guilherme Novaes Ramos ,NA,"Doutorado em Inteligência Computacional e Ciência de Sistemas pelo Instituto de Tecnologia de Tóquio, Japão(2009)",NA
Baldoino Fonseca dos Santos Neto ,NA,"Doutorado em Informática (Conceito CAPES 7) pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2012)","Professor Adjunto da Universidade Federal de Alagoas , Brasil"
Eulanda Miranda dos Santos ,NA,"Doutorado em Engenharia (Philosophiae Doctor Ph. D) pelo École de Technologie Supérieure, Canadá(2008)","Professor da Universidade Federal do Amazonas , Brasil"
Rodrigo Sanches Miani ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2013)","Professor Adjunto C1 da Universidade Federal de Uberlândia , Brasil"
Vinícius Mourão Alves de Souza ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2016)",NA
Hedibert Freitas Lopes ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Estatística e Teoria da Decisão pela Duke University, Estados Unidos(2000)","Full Professor of Statistics and Econometrics do Insper Instituto de Ensino e Pesquisa , Brasil"
Luciano Rebouças de Oliveira ,NA,"Doutorado em Engenharia Elétrica e de Computadores pela Universidade de Coimbra, Portugal(2010)","Professor Adjunto da Universidade Federal da Bahia , Brasil"
Pedro Jussieu de Rezende ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Computer Science pela Northwestern University, Estados Unidos(1988)","Professor Associado (MS-5) da Universidade Estadual de Campinas , Brasil"
Hermes Senger ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2002)","Professor Associado da Universidade Federal de São Carlos , Brasil"
Beny Lafer ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Psiquiatria pela Universidade de São Paulo, Brasil(1998)","Professor Associado da University of Toronto , Canadá"
Ana Cristina Zimmermann ,NA,"Doutorado em Educação pela Universidade Federal de Santa Catarina, Brasil(2010)","Professor Doutor da Universidade de São Paulo , Brasil"
Max Roberto Pereira ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2006)","Professor em Tempo Integral da Universidade do Sul de Santa Catarina , Brasil"
Antonio Carlos Luperni Horta ,NA,"Doutorado em Engenharia Química pela Universidade Federal de São Carlos, Brasil(2011)","Professor Adjunto da Universidade Federal de São Carlos , Brasil"
Daniela Pretti da Cunha Tirapelli ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências Médicas - Clínica Cirúrgica pela Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Brasil(2007)","Professor Doutor MS-3 da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo , Brasil"
Fabio Gagliardi Cozman ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Phd, robotics pela Carnegie Mellon University, Estados Unidos(1997)","Professor titular da Universidade de São Paulo , Brasil"
Roseli Aparecida Francelin Romero ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1993)","Professor Titular da Universidade de São Paulo , Brasil"
Leandro Nunes de Castro Silva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2001)",NA
Francisco de Assis Zampirolli ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2003)","Professor Associado da Universidade Federal do ABC , Brasil"
Flávio de Barros Vidal ,NA,"Doutorado em Engenharia Elétrica pela Universidade de Brasília, Brasil(2009)","Professor Associado I da Universidade de Brasília , Brasil"
Daniel Carvalho da Cunha ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2006)","Professor Adjunto III da Universidade Federal de Pernambuco , Brasil"
Valmir Carneiro Barbosa ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Ciência da Computação pela University of California, Los Angeles, Estados Unidos(1986)","Professor Titular da Universidade Federal do Rio de Janeiro , Brasil"
Nilton Correia da Silva ,NA,"Doutorado em Geologia pela Universidade de Brasília, Brasil(2004)","Professor Adjunto II da Universidade de Brasília , Brasil"
Renato Rocha Souza ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Ciências da Informação pela Universidade Federal de Minas Gerais, Brasil(2005)","Professor e Pesquisador da Fundação Getúlio Vargas , Brasil"
Robson de Oliveira Albuquerque ,NA,"Doutorado em Ingeniería de Software e Inteligencia Artificial pelo Universidad Complutense de Madrid, Espanha(2016)",NA
Joao Francisco Valiati ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2006)",NA
Pedro de Alcantara dos Santos Neto ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2006)",NA
André Luís Santos de Pinho ,NA,"Doutorado em Engenharia Industrial pela University of Wisconsin - Madison, Estados Unidos(2003)","PROFESSOR ASSOCIADO da Universidade Federal do Rio Grande do Norte , Brasil"
Luis Fabricio Wanderley Goes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Informatics pela University of Edinburgh, Grã-Bretanha(2012)","Professor Adjunto IV da Pontifícia Universidade Católica de Minas Gerais , Brasil"
Mauro Marcelo Mattos ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2003)","Professor do Quadro da Fundação Universidade Regional de Blumenau , Brasil"
Marcone Jamilson Freitas Souza ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2000)","Professor Titular da Universidade Federal de Ouro Preto , Brasil"
Leonardo Vidal Batista ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal da Paraíba, Brasil(2002)","Professor Associado da Universidade Federal da Paraíba , Brasil"
Nandamudi Lankalapalli Vijaykumar ,NA,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(1999)",NA
Ály Ferreira Flores Filho ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Doutorado,"Doutorado em Electrical Engineering pela University Of Wales College Of Cardiff, Gales(1996)","Professor Titular da Universidade Federal do Rio Grande do Sul , Brasil"
Andre Macedo Santana ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio Grande do Norte, Brasil(2011)","Professor Adjunto da Universidade Federal do Piauí , Brasil"
Paulo Sergio Martins Pedro ,NA,"Doutorado em Ciência da Computação pela The University of York, Inglaterra(2000)","Professor Doutor MS-3 RDIDP da Universidade Estadual de Campinas , Brasil"
Giseli Rabello Lopes ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2012)","Professor Adjunto da Universidade Federal do Rio de Janeiro , Brasil"
Giampaolo Luiz Libralon ,NA,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2014)","Professor do Instituto Federal de São Paulo , Brasil"
Pyramo Pires da Costa Júnior ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1992)","Professor adjunto da Pontifícia Universidade Católica de Minas Gerais , Brasil"
Eloi Luiz Favero ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2000)",NA
Patrícia Augustin Jaques Maillard ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2004)","Professor Adjunto da Universidade do Vale do Rio dos Sinos , Brasil"
Elaine Pasqualini ,NA,"Doutorado em Educacao pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2012)","Professor titular do Fatec Ourinhos , Brasil"
Fernanda Lima ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2003)","Professor Adjunto da Universidade de Brasília , Brasil"
Ricardo Luis de Azevedo da Rocha ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2000)",NA
Alisson Marques da Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2014)","Professor do Ensino Básico Tec. e Tecnológico do Centro Federal de Educação Tecnológica de Minas Gerais , Brasil"
Alexandre Xavier Falcão ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1997)","Professor Titular da Universidade Estadual de Campinas , Brasil"
Flávio Bortolozzi ,NA,"Doutorado em Engenharia de Sistemas Informática pelo Universitè de Technologie de Compiègne, França(1991)",NA
Anderson Faustino da Silva ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2006)","Professor Associado da Universidade Estadual de Maringá , Brasil"
Flávia Maria Santoro ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2001)","Professor Associado da Universidade Federal do Estado do Rio de Janeiro , Brasil"
Teodiano Freire Bastos Filho ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Ciencias Físicas (Electricidad y Electrónica) pelo Universidad Complutense de Madrid, Espanha(1995)",NA
Marcelo Stehling de Castro ,NA,"Doutorado em Engenharia Elétrica pela Universidade de Brasília, Brasil(2010)","Professor Adjunto II da Universidade Federal de Goiás , Brasil"
Paulo Roberto Moutinho de Vilhena ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Pará, Brasil(2015)",NA
Arnaldo Fernandes da Silva Filho ,"Bolsista de Doutorado da Universidade Estadual de Campinas , Brasil","Doutorado em Química pela Universidade Estadual de Campinas, Brasil(2015)",NA
Jorge Henrique de Frias Barbosa ,NA,"Doutorado em Administração pela Universidade de Brasília, Brasil(2017)",NA
Eduardo Antonio Guimaraes Tavares ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2009)","Professor Adjunto da Universidade Federal de Pernambuco , Brasil"
Carlos Cesar Aparecido Eguti ,NA,"Doutorado em Engenharia Aeronâutica e Mecânica pelo Instituto Tecnológico de Aeronáutica, Brasil(2011)","Professor Adjunto 1A da Universidade Federal de São Paulo , Brasil"
Paolo Rogério de Oliveira Salvalaggio ,Bolsista de Produtividade em Pesquisa 1D,"Doutorado em Medicina (Clínica Cirúrgica) pela Universidade Federal do Paraná, Brasil(2002)",NA
Jerffeson Teixeira de Souza ,NA,"Doutorado em Computer Science pela University of Ottawa, Canadá(2004)","Professor Adjunto L da Universidade Estadual do Ceará , Brasil"
Diogo Coutinho Soriano ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2011)",NA
Alceu de Souza Britto Jr ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Paraná, Brasil(2001)",NA
Fernanda Araujo Baião Amorim ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2001)","Professor Associado da Universidade Federal do Estado do Rio de Janeiro , Brasil"
João José Neto ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1980)","professor associado da Universidade de São Paulo , Brasil"
Aurora Trinidad Ramirez Pozo ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(1996)",NA
Cirano Iochpe ,NA,"Doutorado em Ciência da Computação pelo Karlsruher Institut für Technologie, Alemanha(1989)","Professor Associado da Universidade Federal do Rio Grande do Sul , Brasil"
Ronaldo de Freitas Zampolo ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2003)","Professor adjunto da Universidade Federal do Pará , Brasil"
Humberto Josué de Oliveira Ramos ,NA,"Doutorado em Ciências (Bioquímica) pela Universidade Federal do Paraná, Brasil(2002)","Professor Adjunto da Universidade Federal de Viçosa , Brasil"
Renato Flórido Cameira ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal do Rio de Janeiro, Brasil(2003)","Professor Adjunto IV da Universidade Federal do Rio de Janeiro , Brasil"
Mylene Christine Queiroz de Farias ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Electrical Engineering pela University Of California Santa Barbara, Estados Unidos(2004)","Professor Adjunto da Universidade de Brasília , Brasil"
Rodrigo Affonso de Albuquerque Nobrega ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia de Transportes pela Universidade de São Paulo, Brasil(2007)",NA
Nelson Nunes Tenório Junior ,NA,"Doutorado em Cência da Computação pela Pontifícia Universidade Católica do Rio Grande do Sul, Brasil(2010)",NA
Leandro Luís Galdino de Oliveira ,NA,"Doutorado em Medicina Tropical pela Universidade Federal de Goiás, Brasil(2007)",NA
Leonardo Monteiro Monasterio ,NA,"Doutorado em Desenvolvimento Econômico pela Universidade Federal do Paraná, Brasil(2002)",NA
Luiz Lebensztajn ,NA,"Doutorado em Engenharia Elétrica pela Escola Politécnica, Brasil(1995)","Professor Associado da Universidade de São Paulo , Brasil"
Raul Queiroz Feitosa ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Informatica pelo Friedrich Alexander Universität Erlangen Nürnberg, Alemanha(1988)",NA
Talles Marcelo Gonçalves de Andrade Barbosa ,NA,"Doutorado em Engenharia Elétrica pela Universidade de Brasília, Brasil(2008)","professor Adjunto nível I da Pontifícia Universidade Católica de Goiás , Brasil"
Luiz Augusto de Paula Lima Junior ,NA,"Doutorado em Ciência da Computação pelo Université d'Evry-Val-d'Essonne, França(1998)","Professor Titular da Pontifícia Universidade Católica do Paraná , Brasil"
Keiji Yamanaka ,NA,"Doutorado em Engenharia Eletrica e de Computacao pelo Nagoya Institute Of Technology, Japão(1999)","Professor adjunto 3 da Universidade Federal de Uberlândia , Brasil"
Diego de Freitas Aranha ,NA,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2011)","Professor Doutor I da Universidade Estadual de Campinas , Brasil"
Armando Carlos de Pina Filho ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal do Rio de Janeiro, Brasil(2005)","Professor Associado II da Universidade Federal do Rio de Janeiro , Brasil"
Rossana Maria de Castro Andrade ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Computer Science pela University of Ottawa, Canadá(2001)","Professor Associado IV da Universidade Federal do Ceará , Brasil"
Romero Tori ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1994)","Professor Associado 3 da Universidade de São Paulo , Brasil"
Iara Freitas Lopes ,NA,"Doutorado em Genética e Evolução pela Universidade Federal de São Carlos, Brasil(2006)",NA
Janaína Fischer ,NA,"Doutorado em Engenharia Química pela Universidade Federal de Uberlândia, Brasil(2014)","Professor Adjunto I da Universidade de Passo Fundo , Brasil"
Walter Filgueira de Azevedo Junior ,Bolsista de Produtividade em Pesquisa 1B,"Doutorado em Física pela Universidade de São Paulo, Brasil(1997)","Professor da Pontifícia Universidade Católica do Rio Grande do Sul , Brasil"
José Antonio Fernandes de Macêdo ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em CIÊNCIA DA COMPUTACÃO pela PONTIFÍCIA UNIVERSIDADE CATÓLICA / RIO DE JANEIRO, Brasil(2005)",NA
Brunnella Alcantara Chagas de Freitas ,NA,"Doutorado em Ciência da Nutrição pela Universidade Federal de Viçosa, Brasil(2015)","Professor de Magistério Superior Assistente I da Universidade Federal de Viçosa , Brasil"
Fernando Antonio Aires Lins ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2012)","Professor Pesquisador da Universidade Federal Rural de Pernambuco , Brasil"
Rochele Amorim Ribeiro ,NA,"Doutorado em Engenharia de Transportes pela Universidade de São Paulo, Brasil(2011)",NA
Arthur de Miranda Neto ,NA,"Doutorado em Technologies de l'Information et des Systèmes pelo Université de Technologie de Compiègne, França(2011)","Professor da Universidade Federal de Lavras , Brasil"
Marcelo Queiroz Hoexter ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Psiquiatria e Psicologia Médica pela Universidade Federal de São Paulo, Brasil(2010)",NA
Wesley Pacheco Calixto ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Uberlândia, Brasil(2011)","Professor do Instituto Federal de Educação, Ciência e Tecnologia de Goiás , Brasil"
Cleber Zanchettin ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2008)","Professor Associado da Universidade Federal de Pernambuco , Brasil"
Hernane Borges de Barros Pereira ,NA,"Doutorado em Ingeniería Multimedia pelo Universidad Politécnica de Cataluña, Espanha(2002)","Professor Pleno da Universidade do Estado da Bahia , Brasil"
Renato Tinós ,NA,"Doutorado em Engenharia Elétrica (São Carlos) pela Universidade de São Paulo, Brasil(2003)",NA
Rodrigo Fernandes de Mello ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica São Carlos Sp pela Universidade de São Paulo, Brasil(2003)","Professor Associado da Universidade de São Paulo , Brasil"
André Leon Sampaio Gradvohl ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2005)","Professor Doutor MS-3.2 da Universidade Estadual de Campinas , Brasil"
Ademir Nied ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2007)","Professor Associado da Universidade do Estado de Santa Catarina , Brasil"
Anselmo Cardoso de Paiva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2001)","Professor Associado da Universidade Federal do Maranhão , Brasil"
Akebo Yamakami ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1985)",NA
Lucia Helena Machado Rino ,NA,"Doutorado em Ciências pela Universidade de São Paulo São Carlos, Brasil(1996)","Professora Associada da Universidade Federal de São Carlos , Brasil"
José Eduardo Cogo Castanho ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1997)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Fernando Buarque de Lima Neto ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Artificial Intelligence pela University of London, Inglaterra(2002)","Professor Associado da Universidade de Pernambuco , Brasil"
Renato Crivellari Creppe ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1997)","Professor Assistente Doutor - Doutor II da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Alexandre Balbinot ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal do Rio Grande do Sul, Brasil(2001)","Professor Associado da Universidade Federal do Rio Grande do Sul , Brasil"
Marcos Amatucci ,NA,"Doutorado em Administração pela Universidade de São Paulo, Brasil(2000)","Professor Titular da Escola Superior de Propaganda e Marketing , Brasil"
Marcelo Augusto Costa Fernandes ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2010)","Professor Adjunto da Universidade Federal do Rio Grande do Norte , Brasil"
Rodolfo Jardim de Azevedo ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2002)","Professor Associado da Universidade Estadual de Campinas , Brasil"
Danilo Medeiros Eler ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2011)","Professor Assistente da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Heitor Silvério Lopes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(1996)","Professor Titular da Universidade Tecnológica Federal do Paraná , Brasil"
Léo Pini Magalhães ,NA,"Doutorado em Informática pelo Technische Hochschule Darmstadt, Alemanha(1981)","Professor MS-6 da Universidade Estadual de Campinas , Brasil"
Felipe Venâncio Barbosa ,NA,"Doutorado em Ciências da Reabilitação pela Faculdade de Medicina da USP, Brasil(2007)","Professor Doutor da Universidade de São Paulo , Brasil"
Leonardo Chaves Dutra da Rocha ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2009)",NA
Ricardo de Andrade Lira Rabêlo ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2010)",NA
Eduardo Nunes Borges ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2014)","Professor Adjunto da Universidade Federal do Rio Grande , Brasil"
Mario Mollo Neto ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Engenharia Agrícola pela Universidade Estadual de Campinas, Brasil(2007)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Fabio Moreira Costa ,NA,"Doutorado em Computer Science pela Lancaster University, Inglaterra(2001)","Professor Titular da Universidade Federal de Goiás , Brasil"
Jose Reinaldo Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1992)","Professor Associado III da Universidade de São Paulo , Brasil"
Renato da Rocha Lopes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pelo Georgia Institute of Technology, Estados Unidos(2003)","Professor Assistente da Universidade Estadual de Campinas , Brasil"
Bruno Bogaz Zarpelão ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2010)","Professor Adjunto C da Universidade Estadual de Londrina , Brasil"
Jean Everson Martina ,NA,"Doutorado em Ciências da Computação pela University of Cambridge, Inglaterra(2011)","Professor C1 da Universidade Federal de Santa Catarina , Brasil"
Ismayle de Sousa Santos ,NA,"Doutorado em Ciências da Computação pela Universidade Federal do Ceará, Brasil(2017)",NA
Fernando Magno Quintão Pereira ,NA,"Doutorado em Ciência da Computação pela University of California Los Angeles, Estados Unidos(2008)","Professor Adjunto da Universidade Federal de Minas Gerais , Brasil"
Marcus Vinicius Lamar ,NA,"Doutorado em Electrical And Computer Engineering pelo Nagoya Institute Of Technology, Japão(2001)","Professor Associado da Universidade de Brasília , Brasil"
Carlos Barros Montez ,NA,"Doutorado em Programa de Pós-graduação em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(1999)","Professor DE 40h da Universidade Federal de Santa Catarina , Brasil"
Jean Carlos Cardozo da Silva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica e Informática Industrial pela Universidade Tecnológica Federal do Paraná, Brasil(2005)",NA
Rafael Dueire Lins ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ph D In Computing pela University of Kent, Inglaterra(1986)",NA
Marcus Tullius Scotti ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Química Orgânica pela Universidade de São Paulo, Brasil(2008)","Professor Associado I da Universidade Federal da Paraíba , Brasil"
Priscila Vanessa Zabala Capriles Goliatt ,NA,"Doutorado em Modelagem Computacional pelo Laboratório Nacional de Computação Científica, Brasil(2011)","Professora Adjunta da Universidade Federal de Juiz de Fora , Brasil"
Charles Christian Miers ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2012)","Professor Adjunto 4 da Universidade do Estado de Santa Catarina , Brasil"
Adriano Chaves Lisboa ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2008)",NA
Silvia Modesto Nassar ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(1995)","Professora Titular do Laboratório de Estatística Aplicada , Brasil"
Rodrigo Franco Gonçalves ,NA,"Doutorado em Engenharia (Engenharia de Produção) pela Universidade de São Paulo, Brasil(2010)","Professor Titular da Universidade Paulista , Brasil"
José Mario De Martino ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2005)","Professor Associado I MS5.1 da Universidade Estadual de Campinas , Brasil"
Marly Guimarães Fernandes Costa ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1996)","Professor Titular da Universidade Federal do Amazonas , Brasil"
Li Kuan Ching ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2001)",NA
Robson Domingos Vieira ,NA,"Doutorado em Engenharia Elétrica pela Pontificia Universidade Catolica do Rio de Janeiro, Brasil(2005)",NA
Luis Augusto Consularo ,NA,"Doutorado em FÍSICA COMPUTACIONAL pela Universidade de São Paulo, Brasil(2000)",NA
Carlos Alberto DA SILVA FRANCO ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1983)","Professor Associado da Universidade Federal do Rio de Janeiro , Brasil"
Jane Maryam Rondina ,NA,"Doutorado em Ciências Médicas pela Universidade Estadual de Campinas, Brasil(2008)",NA
Fábio Roberto Fowler ,NA,"Doutorado em Administração pela Universidade de São Paulo, Brasil(2003)","Professor Associado da Universidade Federal de Itajubá , Brasil"
Carlos Augusto Prolo ,NA,"Doutorado em Computer And Information Sciences pela University of Pennsylvania, Estados Unidos(2003)","Professor adjunto da Universidade Federal do Rio Grande do Norte , Brasil"
Silvia Maria Fonseca Silveira Massruha ,NA,"Doutorado em Computação Aplicada pelo Instituto Nacional de Pesquisas Espaciais, Brasil(2003)",NA
Jonas Guedes Borges da Silva ,NA,"Doutorado em Doutorado Engenharia Elétrica pela Universidade Federal de Itajubá, Brasil(2015)",NA
Raimundo Alípio de Oliveira Leão ,NA,"Doutorado em Engenharia Agrícola pela Universidade Federal de Viçosa, Brasil(2010)",NA
Osvaldo Cesar Pinheiro de Almeida ,NA,"Doutorado em Agronomia (Energia na Agricultura) pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2014)",NA
Marcelo Rita Pias ,NA,"Doutorado em Computer Science pela University College London, Grã-Bretanha(2004)",NA
Jairo Simao Santana Melo ,NA,"Doutorado em ENGENHARIA DE SISTEMAS ELETRÔNICOS E DE AUTOMAÇÃO pela Universidade de Brasília, Brasil(2012)",NA
Elisângela Silva da Cunha Rodrigues ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2012)","Professora Adjunto III da Universidade Federal de Mato Grosso do Sul , Brasil"
